AGThielová;andreatwee;Andrea;G;Thielová;Marthastraat ;108;;7555 DX;Hengelo;06-89096527;12-8-1935;AndreaThielova@jourrapide.com;50703225
MSGregerse;marcus;Marcus;S;Gregersen;Robert Regoutstraat ;8;;6042 CN;Roermond;06-41411412;5-2-1979;MarcusSGregersen@einrot.com;51023258
YSMennes;yuka;Yuka;S;Mennes;Ranonkelplein ;117;;1562 AV;Krommenie;06-11640677;9-24-1926;YukaMennes@fleckens.hu;51825272
ALLund;akseleen;Aksel;L;Lund;Laan van Oostenburg ;7;;2271 AP;Voorburg;06-60588863;1-13-1996;AkselLLund@einrot.com;54851348
KSFučík;karel;Karel;S;Fučík;Stokroosplein ;194;;9713 PL;Groningen;06-99735999;6-6-1980;KarelFucik@dayrep.com;55052332
SPBijvoet;sijgje;Sijgje;P;Bijvoet;Othello ;101;;2926 PG;Krimpen aan den IJssel;06-35891166;6-18-2000;SijgjeBijvoet@cuvox.de;56522678
LJHolst;lærke;Lærke;J;Holst;Griete ;102;;4543 PE;Zaamslag;06-27991056;12-26-1950;LaerkeJHolst@cuvox.de;56677649
ZSHorvat;zorkaeen;Zorka;S;Horvat;Rembrandtweg ;51;;1181 HE;Amstelveen;06-61689704;3-25-1943;ZorkaHorvat@dayrep.com;57132653
RHBoeve;rogier;Rogier;H;Boeve;Van Limburg Stirumplein ;87;;3581 VD;Utrecht;06-72310120;1-5-1952;RogierBoeve@jourrapide.com;57242203
HJPetruško;hedvika;Hedvika;J;Petrušková;Populierenlaan ;38;;1185 SG;Amstelveen;06-86175043;11-20-1983;HedvikaPetruskova@dayrep.com;57748536
MVKristian;maja;Maja;V;Kristiansen;Sligsweg ;113;;7475 NP;Markelo;06-18055147;7-27-1934;MajaVKristiansen@gustr.com;58141315
MMElshof;marcelo;Marcelo;M;Elshof;Ringmus ;163;;8271 HG;IJsselmuiden;06-55388419;5-8-1974;MarceloElshof@armyspy.com;59614377
JEDavid;jakub;Jakub;E;David;Gronausestraat ;144;;7533 BN;Enschede;06-25003674;5-21-1966;JakubDavid@superrito.com;59810609
BPKuijvenh;bauke;Bauke;P;Kuijvenhoven;Pascalweg ;181;;3076 JS;Rotterdam;06-72498616;10-30-1946;BaukeKuijvenhoven@rhyta.com;60281583
SDPavić;stanislav;Stanislav;D;Pavić;Hertstraat ;179;;5408 XL;Volkel;06-86894796;11-14-1925;StanislavPavic@einrot.com;61384434
ZZJerie;zdeněkeen;Zdeněk;Z;Jerie;Johanna Naberkade ;28;;3137 TP;Vlaardingen;06-76071775;12-12-2000;ZdenekJerie@gustr.com;62086649
MHBastiaan;mariët;Mariët;H;Bastiaan;Achter de Houttuinen ;84;;4331 NJ;Middelburg;06-54019595;12-6-1990;MarietBastiaan@rhyta.com;62599914
EKSchrauwe;evelien;Evelien;K;Schrauwen;Van Boetzelaerlaan ;114;;2581 AZ;Den Haag;06-76259676;6-6-1944;EvelienSchrauwen@gustr.com;62899673
VJDušková;valentyna;Valentyna;J;Dušková;Elbereveldstraat ;148;;6466 KJ;Kerkrade;06-34663869;3-14-1977;ValentynaDuskova@jourrapide.com;62955846
MKŠtefan;martintwee;Martin;K;Štefan;Tramstraat ;160;;7126 AK;Bredevoort;06-45265058;12-15-1935;MartinStefan@armyspy.com;63046660
LRKoláčkov;lucietwee;Lucie;R;Koláčková;Kooikersdreef ;83;;7328 BP;Apeldoorn;06-72307537;7-5-1980;LucieKolackova@einrot.com;68730056
YJFijneman;yanick;Yanick;J;Fijneman;Pastoor Smuldersstraat ;92;;4587 AG;Kloosterzande;06-20850704;9-30-1946;YanickFijneman@rhyta.com;69516741
NMBuijtend;nol;Nol;M;Buijtendijk;Prinses Margrietlaan ;17;;2273 AH;Voorburg;06-65379463;12-3-1966;NolBuijtendijk@jourrapide.com;76062351
MEHlavička;martintwee;Martin;E;Hlavička;Pergamijndonk ;87;;6218 GV;Maastricht;06-57885212;12-2-1936;MartinHlavicka@fleckens.hu;77160459
RHvan de W;roeline;Roeline;H;van de Water;Renbaanstraat ;68;;7523 ZV;Enschede;06-37383086;10-25-1984;RoelinevandeWater@gustr.com;77257480
PTSteffens;peter;Peter;T;Steffensen;Fazantenstraat ;119;;8191 AJ;Wapenveld;06-92828509;12-20-1934;PeterTSteffensen@jourrapide.com;77866411
EŽKralj;evaeen;Eva;Ž;Kralj;Champignon ;28;;2403 SB;Alphen aan den Rijn;06-10971049;9-16-1965;EvaKralj@gustr.com;80589807
ZSNoordegr;zohra;Zohra;S;Noordegraaf;Mark ;176;;5422 VG;Gemert;06-74838332;8-30-1975;ZohraNoordegraaf@gustr.com;81249007
MFvan 't V;madhvi;Madhvi;F;van 't Veer;Eendrachtskade ;79;;9726 DE;Groningen;06-59186049;9-11-1993;MadhvivantVeer@jourrapide.com;81804660
PŠStehlík;petrtwee;Petr;Š;Stehlík;Sint Annastraat ;149;;4524 JD;Sluis;06-16901450;3-1-1931;PetrStehlik@fleckens.hu;83357725
VJDvořákov;vlastaeen;Vlasta;J;Dvořáková;Hondsdraf ;171;;8255 KC;Swifterbant;06-59293285;6-15-1955;VlastaDvorakova@armyspy.com;85345623
AJNielsen;annatwee;Anna;J;Nielsen;Brandsmastraat ;119;;2806 KS;Gouda;06-28333409;9-14-1999;AnnaJNielsen@fleckens.hu;85525236
SNKnežević;svitlana;Svitlana;N;Knežević;Beukenlaan ;79;;1613 TH;Grootebroek;06-29653196;11-28-1952;SvitlanaKnezevic@gustr.com;85644912
SMKristoff;sille;Sille;M;Kristoffersen;Admiraal Helfrichlaan ;61;b;6952 GC;Dieren;06-61360273;11-9-1982;SilleMKristoffersen@fleckens.hu;89553871
ŠVKrásný;šimoneen;Šimon;V;Krásný;Frans Halsstraat ;139;;1072 BC;Amsterdam;06-58587625;5-4-1926;SimonKrasny@fleckens.hu;91208324
STThorsen;simone;Simone;T;Thorsen;Briljant ;123;;1703 GP;Heerhugowaard;06-83361591;12-4-1976;SimoneTThorsen@rhyta.com;91603377
MIBarić;markoeen;Marko;I;Barić;Nico Bulderstraat ;33;;9744 HC;Groningen;06-48328320;12-8-1991;MarkoBaric@armyspy.com;93419843
TBJanský;tomáš;Tomáš;B;Janský;Dadelstraat ;125;;5632 WR;Eindhoven;06-82983704;5-20-1999;TomasJansky@fleckens.hu;93664278
HJOlsen;hannah;Hannah;J;Olsen;Bousemalaan ;4;a;9356 TN;Tolbert;06-55286716;11-22-1988;HannahJOlsen@cuvox.de;94709762
IMSlivka;ivan;Ivan;M;Slivka;Kastrupstraat ;184;;5042 TX;Tilburg;06-21110191;1-23-1994;IvanSlivka@dayrep.com;96143071
LTVališová;lenka;Lenka;T;Vališová;Anne Vondelingplantsoen ;138;;2672 BV;Naaldwijk;06-39117215;12-19-1946;LenkaValisova@armyspy.com;98612633
NRJurišić;nedjeljko;Nedjeljko;R;Jurišić;Enschedesestraat ;26;;7552 CR;Hengelo;06-23432066;7-28-1964;NedjeljkoJurisic@dayrep.com;99460750
LTOndruš;luboš;Luboš;T;Ondruš;Spieringsluis ;136;;4251 MR;Werkendam;06-11940960;7-31-1977;LubosOndrus@armyspy.com;102014656
KVJurković;kazimir;Kazimir;V;Jurković;Sterappel ;118;;4007 ZV;Tiel;06-35060406;6-5-1985;KazimirJurkovic@fleckens.hu;103250372
AMKristian;astaeen;Asta;M;Kristiansen;Dokter Beumerstraat ;93;;8433 MJ;Haulerwijk;06-66730665;1-20-1937;AstaMKristiansen@einrot.com;103349601
ELToebes;euphemia;Euphemia;L;Toebes;Jasonstraat ;97;;1076 KZ;Amsterdam;06-64299114;9-20-1938;EuphemiaToebes@cuvox.de;103830856
NDDoleželo;nela;Nela;D;Doleželová;Ameland ;8;;3524 AN;Utrecht;06-63510371;6-1-1994;NelaDolezelova@einrot.com;107447435
RNvan der ;raoel;Raoel;N;van der Leest;Pearsonlaan ;71;;3527 CC;Utrecht;06-62839084;6-20-1978;RaoelvanderLeest@dayrep.com;115084447
BLvan Wier;berry;Berry;L;van Wieren;Kadeweg ;54;;1774 BJ;Slootdorp;06-17246664;1-2-2000;BerryvanWieren@gustr.com;115423758
MFLukić;mladenkaeen;Mladenka;F;Lukić;Tijnjeweg ;83;;8457 EL;Gersloot;06-30907001;12-19-1948;MladenkaLukic@jourrapide.com;116240829
MNJeppesen;maleneeen;Malene;N;Jeppesen;Punter ;161;;8242 DS;Lelystad;06-42167763;4-14-1972;MaleneNJeppesen@superrito.com;116425702
JIKlausen;jonaseen;Jonas;I;Klausen;Albert Cuypstraat ;55;;1072 CL;Amsterdam;06-74612899;10-28-1956;JonasIKlausen@cuvox.de;119421720
JDŠolcová;jitkaeen;Jitka;D;Šolcová;Kluivingskampenweg ;170;;9761 BR;Eelde;06-64239113;1-21-1955;JitkaSolcova@einrot.com;120985627
SAFrederik;sander;Sander;A;Frederiksen;Baai ;68;;8224 DP;Lelystad;06-53004247;8-30-1983;SanderAFrederiksen@cuvox.de;122263108
JJJohansen;jeppe;Jeppe;J;Johansen;Parelmoervlinder ;64;;2317 JE;Leiden;06-12179285;11-22-1982;JeppeJJohansen@dayrep.com;122972818
SJŠvejda;slavomír;Slavomír;J;Švejda;Noord ;46;;7914 PW;Noordscheschut;06-32413067;2-27-1960;SlavomirSvejda@jourrapide.com;123041351
TKKlausen;theatwee;Thea;K;Klausen;Cornelis Dirkszstraat ;30;;3554 VJ;Utrecht;06-76031763;4-7-1965;TheaKKlausen@dayrep.com;124839319
JAJežek;jiříeen;Jiří;A;Ježek;Cesar Franckstraat ;44;;8916 HE;Leeuwarden;06-84316591;2-4-1953;JiriJezek@teleworm.us;127032198
MJHudcová;michaelatwee;Michaela;J;Hudcová;Marijkestraat ;35;;6067 GW;Linne;06-92240349;5-21-1952;MichaelaHudcova@rhyta.com;128880314
WSMuijtjen;wendie;Wendie;S;Muijtjens;Dekkersbos ;85;;3956 TG;Leersum;06-41951337;6-17-1964;WendieMuijtjens@superrito.com;129724889
PFStolar;paula;Paula;F;Stolar;Julianastraat ;62;;4661 JR;Halsteren;06-59448027;3-28-1972;PaulaStolar@gustr.com;130706097
JBKovačić;jagoda;Jagoda;B;Kovačić;Staalstraat ;135;;2033 XH;Haarlem;06-52042307;2-11-1960;JagodaKovacic@teleworm.us;133708809
SAElzinga;sade;Sade;A;Elzinga;Het Loo ;166;;2665 TL;Bleiswijk;06-34549525;12-26-1999;SadeElzinga@fleckens.hu;135930856
KTHedegaar;kristine;Kristine;T;Hedegaard;Paltzerweg ;80;;3734 CL;Den Dolder;06-67961157;4-8-1995;KristineTHedegaard@superrito.com;136836240
VSRadić;vatroslav;Vatroslav;S;Radić;Hoolstraat ;64;;6191 TZ;Beek;06-71984386;1-17-1923;VatroslavRadic@superrito.com;137994229
DPMatijevi;danicatwee;Danica;P;Matijević;Doctor Schaepmanstraat ;160;;2032 GM;Haarlem;06-61765160;2-25-1930;DanicaMatijevic@teleworm.us;138344929
EESønderga;emil;Emil;E;Søndergaard;De Vergulde Paarden ;170;;3824 CX;Amersfoort;06-98667915;3-27-1953;EmilESndergaard@jourrapide.com;139031030
HLVideler;hetty;Hetty;L;Videler;Buorren ;180;;8525 EB;Langweer;06-18394975;4-6-1923;HettyVideler@rhyta.com;142385955
AJKos;andrej;Andrej;J;Kos;Wollegras ;133;;2498 AV;Den Haag;06-97618073;7-17-1983;AndrejKos@superrito.com;144319433
NOŠarić;natalija;Natalija;O;Šarić;Talmastraat ;77;;5344 GD;Oss;06-40692025;5-10-1933;NatalijaSaric@cuvox.de;145739041
SEAndresen;stormeen;Storm;E;Andresen;Klaproosstraat ;121;;6915 VE;Lobith;06-51836171;8-26-1977;StormEAndresen@rhyta.com;145914288
ESKristoff;emilie;Emilie;S;Kristoffersen;Burgemeester Verleghstraat ;16;;5141 CA;Waalwijk;06-12772872;2-14-1925;EmilieSKristoffersen@fleckens.hu;146361556
JAvan der ;jevon;Jevon;A;van der Linden;Kapelhof ;47;;5367 AZ;Macharen;06-81652366;2-11-1939;JevonvanderLinden@dayrep.com;147291355
JKPepping;justice;Justice;K;Pepping;Daltonstraat ;29;;3817 VB;Amersfoort;06-77206606;3-17-1964;JusticePepping@dayrep.com;147349084
KMBruinenb;kemâl;Kemâl;M;Bruinenberg;Oude Liesselseweg ;3;;5751 WP;Deurne;06-86181560;1-3-1993;KemalBruinenberg@gustr.com;149696498
MAVeldhuis;moustapha;Moustapha;A;Veldhuisen;Pesserweg ;17;;7932 PC;Echten;06-26529041;6-30-1961;MoustaphaVeldhuisen@teleworm.us;150548758
LRKuster;levent;Levent;R;Kuster;Nansenplaats ;165;;3069 CT;Rotterdam;06-54900202;12-14-1980;LeventKuster@einrot.com;152709265
RDNikolić;ranko;Ranko;D;Nikolić;Marspoortstraat ;24;;7201 JB;Zutphen;06-75110961;3-10-1978;RankoNikolic@teleworm.us;154584344
SMMarić;saša;Saša;M;Marić;Wite Finne ;7;;9084 DB;Goutum;06-39347641;7-15-1954;SasaMaric@teleworm.us;155978275
PSSchmidt;patrick;Patrick;S;Schmidt;Bosweg ;168;;5373 KK;Herpen;06-96575067;10-2-1939;PatrickSSchmidt@fleckens.hu;157439690
MKHřebík;martintwee;Martin;K;Hřebík;Hekerdelstraat ;44;;6343 AL;Klimmen;06-91725972;4-23-1938;MartinHrebik@gustr.com;159371399
EMVerlinde;etiènne;Etiènne;M;Verlinden;Dorpsstraat ;187;;3632 AT;Loenen aan de Vecht;06-21305586;1-1-1942;EtienneVerlinden@dayrep.com;160914255
TLŠlechta;tomáštwee;Tomáš;L;Šlechta;De Hoekakker ;46;;5561 CE;Riethoven;06-65822168;4-5-1939;TomasSlechta@superrito.com;162574150
KHIndrák;kareltwee;Karel;H;Indrák;Koningsveld ;181;;2628 LK;Delft;06-57506887;3-7-1958;KarelIndrak@jourrapide.com;163694576
JRJurić;jakov;Jakov;R;Jurić;Korenbloemstraat ;140;;5025 PN;Tilburg;06-65137373;9-14-1941;JakovJuric@fleckens.hu;168153269
MPNovotný;matyáš;Matyáš;P;Novotný;Crooswijksestraat ;53;;3034 AE;Rotterdam;06-80318709;9-26-1974;MatyasNovotny@superrito.com;170774259
EEBaudoin;elko;Elko;E;Baudoin;Hervensebaan ;64;;5232 JL;s-Hertogenbosch;06-48678781;1-30-1976;ElkoBaudoin@cuvox.de;172044364
ADCarlsen;asta;Asta;D;Carlsen;Dijkje ;93;;3864 PT;Nijkerkerveen;06-55894746;1-28-1994;AstaDCarlsen@dayrep.com;172697633
ICKranenbu;inès;Inès;C;Kranenburg;Plesmanlaan ;23;;1066 XP;Amsterdam;06-37790806;7-7-1979;InesKranenburg@armyspy.com;173303882
SMSellis;skylar;Skylar;M;Sellis;Kieveen ;22;;7371 GD;Loenen;06-98644478;7-16-1966;SkylarSellis@rhyta.com;177994514
JMBartoněk;jakubeen;Jakub;M;Bartoněk;Hennepad ;52;;1521 DG;Wormerveer;06-76927794;2-2-1968;JakubBartonek@armyspy.com;178422423
CRVilladse;carltwee;Carl;R;Villadsen;Woldstraat ;32;;7941 LG;Meppel;06-58611245;7-24-1997;CarlRVilladsen@rhyta.com;180004475
SMPoljak;slavka;Slavka;M;Poljak;Loevesteinlaan ;140;;2533 AX;Den Haag;06-22310883;5-29-1972;SlavkaPoljak@teleworm.us;186714051
EEHansen;emileen;Emil;E;Hansen;Flearen ;116;;8635 MX;Boazum;06-85590867;4-29-1923;EmilEHansen@fleckens.hu;189031451
LHScholten;lianda;Lianda;H;Scholtens;Masjerangplein ;3;;6218 EJ;Maastricht;06-19784615;7-29-1982;LiandaScholtens@armyspy.com;189567260
NHSkov;nanna;Nanna;H;Skov;Dadeltuin ;4;;3078 KZ;Rotterdam;06-53874674;8-28-1949;NannaHSkov@gustr.com;193041625
SVBačić;stipo;Stipo;V;Bačić;Van Plettenbergweg ;1;;6286 AC;Wittem;06-25821585;7-1-1940;StipoBacic@rhyta.com;193715612
JMSnepvang;jakko;Jakko;M;Snepvangers;Hobbemastraat ;87;;6814 KS;Arnhem;06-91654217;10-13-1974;JakkoSnepvangers@fleckens.hu;194952794
MALubberts;maxwell;Maxwell;A;Lubberts;Pastoor Roselaersplein ;12;;6431 NP;Hoensbroek;06-16359068;2-10-1929;MaxwellLubberts@gustr.com;195259725
KKMiletić;kristian;Kristian;K;Miletić;Keienweg ;133;;3861 MS;Nijkerk;06-47654642;1-7-1998;KristianMiletic@gustr.com;196789965
NJBilá;nina;Nina;J;Bilá;Molenstraat ;102;;5554 TS;Valkenswaard;06-72869099;5-22-1955;NinaBila@cuvox.de;196887732
DPZajíčkov;dominika;Dominika;P;Zajíčková;Catharina van Renneslaan ;67;;1187 HA;Amstelveen;06-88199962;3-6-1984;DominikaZajickova@gustr.com;197009554
OJDam;olivia;Olivia;J;Dam;Joke Smit-Erf ;43;;3315 VD;Dordrecht;06-52460739;5-12-1964;OliviaJDam@gustr.com;197490888
AVŠandová;aneta;Aneta;V;Šandová;Ruijmheuvel ;191;;5066 EL;Moergestel;06-88432047;6-2-1979;AnetaSandova@fleckens.hu;199673123
ITLeidelme;ileen;Ileen;T;Leidelmeijer;Vesting ;165;;5509 MN;Veldhoven;06-13830816;6-16-1972;IleenLeidelmeijer@rhyta.com;200066638
VDStuchlá;věratwee;Věra;D;Stuchlá;Nadorstweg ;177;;4333 AK;Middelburg;06-22573006;5-28-1928;VeraStuchla@cuvox.de;200512250
BKKovač;branka;Branka;K;Kovač;Oranjestraat ;191;;5682 CA;Best;06-29286998;11-23-1956;BrankaKovac@jourrapide.com;202503082
VOVidakovi;vjekoslav;Vjekoslav;O;Vidaković;Riepel ;7;;8303 KP;Emmeloord;06-47167320;11-27-1938;VjekoslavVidakovic@einrot.com;203789660
RTVesterga;rollaeen;Rolla;T;Vestergaard;Edvard Grieghof ;31;;4536 EP;Terneuzen;06-89665034;7-17-1970;RollaTVestergaard@cuvox.de;204545225
MSHenrikse;mohamed;Mohamed;S;Henriksen;Den Domp ;156;;4305 AR;Ouwerkerk;06-50233674;6-22-1936;MohamedSHenriksen@dayrep.com;205151255
KZProcházk;karolína;Karolína;Z;Procházková;Kamperfoeliestraat ;41;;2563 KH;Den Haag;06-27062998;3-27-1934;KarolinaProchazkova@rhyta.com;206438801
GMKos;godemir;Godemir;M;Kos;Woudweg ;189;;7381 BA;Klarenbeek;06-58414435;11-24-1947;GodemirKos@cuvox.de;207880360
BVHerceg;bojana;Bojana;V;Herceg;Hoendiep ;138;;2904 RC;Capelle aan den IJssel;06-22186784;8-30-1982;BojanaHerceg@gustr.com;212976886
SMEriksen;storm;Storm;M;Eriksen;Bergvredestraat ;27;d;6942 GK;Didam;06-84146051;3-30-1976;StormMEriksen@superrito.com;215073228
JMBožić;jasenka;Jasenka;M;Božić;Noordermarkt ;97;;1015 NA;Amsterdam;06-33611142;10-30-1964;JasenkaBozic@rhyta.com;216448049
CMKunnen;constantijn;Constantijn;M;Kunnen;Ieplaan ;146;;2565 LM;Den Haag;06-17408324;9-8-1965;ConstantijnKunnen@jourrapide.com;217052381
JMČerná;jana;Jana;M;Černá;Ringweg ;125;;7156 RN;Beltrum;06-80855158;8-16-1964;JanaCerna@superrito.com;218054580
GCvan der ;guiliano;Guiliano;C;van der Zwan;Koediepslaan ;93;;9679 BD;Scheemda;06-22862092;10-14-1942;GuilianovanderZwan@cuvox.de;218959382
MPZárubová;marcela;Marcela;P;Zárubová;Sellikstraat ;167;;5334 NR;Velddriel;06-52284088;6-15-2000;MarcelaZarubova@teleworm.us;219503886
OSKarlsen;oskartwee;Oskar;S;Karlsen;Bunzing ;106;;5508 NZ;Veldhoven;06-54278834;9-23-1977;OskarSKarlsen@jourrapide.com;220575307
LK﻿Veselý;lukáš;Lukáš;K;﻿Veselý;Korte Poten ;199;;2511 EB;Den Haag;06-40941408;5-31-1985;LukasVesely@superrito.com;220826109
IPZimmerma;irena;Irena;P;Zimmermannová;Bovenover ;127;;3062 CC;Rotterdam;06-91385923;9-29-1966;IrenaZimmermannova@armyspy.com;220910248
MLLauritse;martintwee;Martin;L;Lauritsen;Torenstraat ;77;;9163 HE;Nes;06-98794405;4-30-1968;MartinLLauritsen@einrot.com;222056265
CDHoutepen;chi;Chi;D;Houtepen;Roelof van Schevenstraat ;91;;7521 SM;Enschede;06-48023913;7-22-1923;ChiHoutepen@superrito.com;222238045
JMJohnsen;jacob;Jacob;M;Johnsen;Von Suppestraat ;48;;5151 KR;Drunen;06-53135335;6-2-1941;JacobMJohnsen@jourrapide.com;225013204
JOHrabalov;jaruška;Jaruška;O;Hrabalová;Provincialeweg Zuid ;65;;6438 BH;Oirsbeek;06-90477438;4-19-1952;JaruskaHrabalova@gustr.com;225938455
HTDostálov;helena;Helena;T;Dostálová;Torenstraat ;174;;5554 NK;Valkenswaard;06-42915489;5-5-1965;HelenaDostalova@cuvox.de;227585501
VZPopović;verica;Verica;Z;Popović;Braillestraat ;132;;5361 AK;Grave;06-60551334;7-6-1975;VericaPopovic@fleckens.hu;227712213
CGYang;cherique;Cherique;G;Yang;Dorpsstraat ;177;;1901 EN;Castricum;06-14713862;12-31-1925;CheriqueYang@dayrep.com;228993969
JAvan Eete;jamel;Jamel;A;van Eeten;Aquamarijnstraat ;136;;9743 PC;Groningen;06-54168305;11-24-1988;JamelvanEeten@armyspy.com;233127185
ÖKVerheul;ömer;Ömer;K;Verheul;Rembrandtlaan ;80;;3117 VC;Schiedam;06-31826714;4-10-1941;OmerVerheul@rhyta.com;233784810
JZŠtroblov;jitka;Jitka;Z;Štroblová;Kruisvoorde ;1;;3334 DB;Zwijndrecht;06-11606894;10-31-1984;JitkaStroblova@fleckens.hu;234194728
RZBosanac;radoslav;Radoslav;Z;Bosanac;Beukersmolen ;29;;7572 DA;Oldenzaal;06-54772990;8-20-1965;RadoslavBosanac@cuvox.de;234934815
ZDNovotný;zbyněk;Zbyněk;D;Novotný;Poolseweg ;76;;3881 RB;Putten;06-14303028;10-6-1942;ZbynekNovotny@gustr.com;240943673
AJHartlová;adéla;Adéla;J;Hartlová;Koningin Marialaan ;30;;2595 GD;Den Haag;06-96625732;9-15-1975;AdelaHartlova@gustr.com;244127839
MILitjens;mady;Mady;I;Litjens;Dijkmanzoet ;195;;4007 XH;Tiel;06-80456573;3-30-1946;MadyLitjens@armyspy.com;244970701
